age,num_people
0.00,181155.00
1.00,185501.00
2.00,185209.00
3.00,183608.00
4.00,181638.00
5.00,179685.00
6.00,175106.00
7.00,174682.00
8.00,170306.00
9.00,170254.00
10.00,165831.00
11.00,160225.00
12.00,155770.00
13.00,152628.00
14.00,148272.00
15.00,148618.00
16.00,149056.00
17.00,143561.00
18.00,140442.00
19.00,140782.00
20.00,136192.00
21.00,135492.00
22.00,131214.00
23.00,129028.00
24.00,125367.00
25.00,125513.00
26.00,124784.00
27.00,124050.00
28.00,123510.00
29.00,122484.00
30.00,121981.00
31.00,120716.00
32.00,119436.00
33.00,119848.00
34.00,119258.00
35.00,119470.00
36.00,119765.00
37.00,116856.00
38.00,114456.00
39.00,114600.00
40.00,113667.00
41.00,109897.00
42.00,111989.00
43.00,114917.00
44.00,112639.00
45.00,108808.00
46.00,105226.00
47.00,102737.00
48.00,102587.00
49.00,98301.00
50.00,93184.00
51.00,89313.00
52.00,83210.00
53.00,84927.00
54.00,83578.00
55.00,82029.00
56.00,79098.00
57.00,78947.00
58.00,77936.00
59.00,80465.00
60.00,77527.00
61.00,76210.00
62.00,74813.00
63.00,73998.00
64.00,74666.00
65.00,72103.00
66.00,72367.00
67.00,72444.00
68.00,71299.00
69.00,69953.00
70.00,62751.00
71.00,61694.00
72.00,66207.00
73.00,59264.00
74.00,46071.00
75.00,38661.00
76.00,33014.00
77.00,30772.00
78.00,31905.00
79.00,31809.00
80.00,31298.00
81.00,31330.00
82.00,30484.00
83.00,26335.00
84.00,23008.00
85.00,20027.00
86.00,17168.00
87.00,16573.00
88.00,13486.00
89.00,12838.00
90.00,10334.00
91.00,8875.00
92.00,6932.00
93.00,5890.00
94.00,4726.00
95.00,3787.00
96.00,2710.00
97.00,1898.00
98.00,1150.00
99.00,1015.00
+100,3272.00